Input;Output
An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone, which tends to absorb the sulfur.;[]
The yellow beta carotene pigment absorbs blue (not yellow) laser light.;[]
Vitamins could be passed right out of the body without being absorbed, he says.;[]
New Pig Corp., Tipton, Pa., offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines.;[]
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight.;[]
As a result, total investment from all sources, domestic and foreign, of about 16% of gross national product is still way short of the 25% analysts believe is needed to absorb a fast-expanding labor force.;[]
The Monitor's losses are absorbed by the church's working fund.;[]
Most of these losses must be absorbed by the FSLIC, the industry's insurer, analysts said.;[]
Employees who don't move to the rival's factory in Chicago probably will be absorbed by Bally's growing fitness-equipment manufacturing businesses.;[]
It had been long assumed that the agency wouldn't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news.;[]
Their Northern European ancestors had to adapt to a climate where sunny days were few and short and it was important for the skin to absorb sunlight to produce vitamin D.;[]
"Mr. Thunberg of Ried Thunberg said the Fed has ""aggressively"" absorbed reserves over each of the past three days.";[]
On Tuesday, AIDS demonstrators assaulted the headquarters building of the Food and Drug Administration outside Washington.;[]
At least six people were assaulted.;[]
Opponents assaulted the demonstrators with rocks, dirty dishwater and racial epithets.;[]
Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife.;[]
He was detained on June 23, and for two weeks he was regularly assaulted by South African police.;[]
She says six white men, including one wearing a police badge, kidnapped, beat and sexually assaulted her.;[]
John Gil, a San Diego landlord, and Mike Black, an apartment manager, were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters.;[]
Last year, the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year-old American woman has a 72% chance of being raped, robbed, or assaulted in her lifetime.;[]
In December 1987 he had told Eric Schwartz of Asiawatch, the same organization represented by Jerome Cohen, that the three detainees, namely Lim Li Kok, Wong Souk Yee, and William Yap, whom I interviewed had said that they were not assaulted.;[]
Mr. LaFree noted that the sentencing disparities were substantial: Black men accused of assaulting black women accounted for 45% of all reported cases, but for only 26% of all men sentenced to the state penitentiary and for only 17% of all men who received sentences of six or more years.;[]
Opponents assaulted the demonstrators with rocks, dirty dishwater, and racial epithets.;[]
In June 1987 he had told Udo Janz of Amnesty International that I was allowed to interview the detainees and they had told me that they were not assaulted.;[]
Prince Norodom Sihanouk, the former Cambodian leader, said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai-Cambodia border.;[]
The ship hadn't attacked U.S.-flag vessels or been involved in mine-laying.;[]
His antics once provoked an elderly ruling-party legislator to attack him with a cane.;[]
Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan-resistance camps in Pakistan.;[]
"If not attacking Mr. Dukakis, his speeches—which end with a ""God Bless You""—have a dreamy, inspirational flair that seems to satisfy many voters younger than himself.";[]
Indian forces attacked Tamil rebel camps in northern Sri Lanka, killing as many as 30 insurgents and 10 soldiers, officials in Colombo said.;[]
One sure sign has reappeared to attest that the interests of the United States must be taking a turn for the good in El Salvador: The country is being attacked.;[]
